seller_id,orders,average_rating,negative_rate,one_star_rate,delivery_orders,avg_delivery_days,avg_delay_days,late_rate
001cca7ae9ae17fb1caed9dfb1094831,200,3.902542372881356,19.06779661016949,14.40677966101695,195,13.405804902659069,-12.225614078822412,6.666666666666667
002100f778ceb8431b7a1020ff7ab48f,51,3.982142857142857,14.285714285714285,12.5,50,16.386808796296297,-7.389838425925927,18.0
004c9cd9d87a3c30c522c48c4fc07416,158,4.132947976878612,13.872832369942195,8.092485549132949,156,14.811330202397912,-11.063156531932574,8.333333333333332
00ee68308b45bc5e2660cd833c3f81cc,135,4.3313953488372094,9.883720930232558,7.55813953488372,135,9.61941718106996,-10.066531121399178,8.88888888888889
00fc707aaaad2d31347cf883cd2dfe10,103,3.7375886524822697,25.53191489361702,17.02127659574468,103,15.109577714850774,-14.833631000539373,4.854368932038835
01cf7e3d21494c41fb86034f2e714fa1,61,4.212121212121212,10.606060606060606,10.606060606060606,59,11.786124646892656,-14.493196406151915,5.084745762711865
01fdefa7697d26ad920e9e0346d4bd1b,129,4.346153846153846,6.153846153846154,6.153846153846154,128,10.729679723668982,-13.005218460648148,6.25
0241d4d5d36f10f80c644447315af0bd,238,4.278225806451613,12.5,8.46774193548387,238,11.004127859477125,-12.289720374260815,5.88235294117647
04308b1ee57b6625f47df1d56f00eedf,94,3.882978723404255,21.27659574468085,18.085106382978726,92,18.87600291867955,-10.881928844605476,11.956521739130435
0432ead42b6c8a0bdf68154add917fdf,85,4.477777777777778,8.88888888888889,7.777777777777778,82,8.89543289859982,-12.485699525745257,3.6585365853658534
048c2757535328e0d7dac690ad3c0aae,51,4.18,16.0,10.0,50,18.514625925925927,-9.286541203703704,14.000000000000002
0509040ea3fe50071181bbc359eb7738,89,4.5,1.0416666666666665,1.0416666666666665,87,11.611956550659855,-9.959831976372925,6.896551724137931
056b4ada5bbc2c50cc7842547dda6b51,65,4.123076923076923,15.384615384615385,13.846153846153847,64,12.779225983796296,-11.708633355034722,10.9375
058fd0aa2bfdb2274e05e1ae971dabb6,61,4.384615384615385,9.230769230769232,7.6923076923076925,60,10.141677469135802,-11.245855516975308,6.666666666666667
05d2173d43ea568aa0540eba70d2ca76,62,4.0,17.1875,12.5,62,15.022058878434887,-10.928309251792117,6.451612903225806
05f51e13da97139648b8125c31e5f51b,60,4.095238095238095,17.46031746031746,17.46031746031746,57,12.507035209551658,-9.064117730669265,15.789473684210526
05ff92fedb5be47920fea08e501238b9,59,4.171875,6.25,6.25,57,12.3373714668616,-17.09200881254061,5.263157894736842
062ce95fa2ad4dfaedfc79260130565f,55,3.966666666666667,13.333333333333334,13.333333333333334,54,13.504861754115225,-12.55610853909465,3.7037037037037033
06579cb253ecd5a3a12a9e6eb6bf8f47,62,3.763888888888889,25.0,20.833333333333336,61,9.941688107164541,-9.162210458409229,13.114754098360656
066a6914e1ebf3ea95a216c73a986b91,68,3.9726027397260273,15.068493150684931,8.21917808219178,66,13.309240495230078,-16.52405636223345,3.0303030303030303
06a2c3af7b3aee5d69171b0e14f0ee87,392,4.00250626566416,16.290726817042607,13.533834586466165,389,17.728175551033036,-10.657199579881938,23.13624678663239
06e5eefc71ec47ae763c5c6f8db7064f,92,3.903225806451613,16.129032258064516,11.827956989247312,90,10.933133744855967,-15.983813014403292,2.2222222222222223
080102cd0a76b09e0dcf55fcacc60e05,124,4.492307692307692,4.615384615384616,4.615384615384616,122,9.905664750303583,-11.112329804189436,4.098360655737705
080199a181c46c657dc5aa235411be3b,79,4.609756097560975,1.2195121951219512,1.2195121951219512,79,8.087146917487107,-8.892990359821848,2.5316455696202533
08633c14ef2db992c11f840f04fad4cd,74,4.237113402061856,11.34020618556701,6.185567010309279,74,9.956255943443443,-10.187189846096095,6.756756756756757
09f952a5f58d2285b0372551ae8f9b01,50,3.875,16.071428571428573,12.5,50,13.292202777777778,-11.07747314814815,6.0
0adac9fbd9a2b63cccaac4f8756c1ca8,110,3.887323943661972,14.084507042253522,11.971830985915492,106,13.070889565863032,-10.229222353249476,6.60377358490566
0b35c634521043bf4b47e21547b99ab5,51,3.4935064935064934,25.97402597402597,18.181818181818183,50,19.267996064814817,-11.949300231481482,16.0
0b90b6df587eb83608a64ea8b390cf07,164,4.0,17.674418604651162,14.418604651162791,163,14.456224863667348,-17.716007796523517,3.6809815950920246
0bae85eb84b9fb3bd773911e89288d54,137,4.205479452054795,8.21917808219178,6.164383561643835,136,10.279241813044663,-14.44342933006536,0.7352941176470588
0be8ff43f22e456b4e0371b2245e4d01,161,3.8944444444444444,20.0,15.0,156,10.396858455009497,-11.02065111585945,6.41025641025641
0c7533c71df861ec58ad7ff999ed0e8d,61,4.04054054054054,17.56756756756757,14.864864864864865,61,10.811724537037039,-9.40291875379478,4.918032786885246
0c8380b62e38e8a1e6adbeba7eb9688c,182,4.040909090909091,15.0,9.545454545454547,180,12.980510288065846,-11.250096386316873,5.555555555555555
0d85bbda9889ce1f7e63778d24f346eb,51,4.211538461538462,11.538461538461538,9.615384615384617,51,15.828296114742193,-10.91588598402324,11.76470588235294
0db783cfcd3b73998abc6e10e59a102f,132,4.213235294117647,12.5,7.352941176470589,132,11.615984322390574,-12.430169226992145,3.787878787878788
0dd184061fb0eaa7ca37932c68ab91c5,161,3.953125,15.104166666666666,13.020833333333334,161,11.830896882907751,-9.788533543248217,11.801242236024844
0df3984f9dfb3d49ac6366acbd3bbb85,87,4.303370786516854,11.235955056179774,11.235955056179774,86,9.545799956933678,-14.1242923664944,1.1627906976744187
0ea22c1cfbdc755f86b9b54b39c16043,237,4.333333333333333,8.058608058608058,6.593406593406594,234,11.029134318613485,-16.221681851456157,1.7094017094017095
1025f0e2d44d7041d6cf58b6550e0bfa,915,3.8497554157931515,20.545073375262053,16.42208245981831,910,12.391189814814814,-10.18234918091168,10.10989010989011
1127b7f2594683f2510f1c2c834a486b,114,4.097744360902255,18.045112781954884,10.526315789473683,110,9.352086279461279,-10.51401978114478,2.727272727272727
116ccb1a1604bc88e4d234a8c23f33de,61,4.602739726027397,4.10958904109589,4.10958904109589,61,9.04657786885246,-9.518174332119004,6.557377049180328
11bfa66332777660bd0640ee84d47006,76,3.7766990291262137,27.184466019417474,18.446601941747574,76,16.52767665692008,-8.354531402290448,15.789473684210526
128639473a139ac0f3e5f5ade55873a5,533,4.176895306859206,11.552346570397113,7.9422382671480145,527,14.34180035051655,-11.522904719235365,6.261859582542694
12b9676b00f60f3b700e83af21824c0e,135,4.511111111111111,5.185185185185185,2.9629629629629632,133,15.053846247563353,-20.567278613199665,1.5037593984962405
